analysis,outcome,family,fit_method,formula,term,estimate,std_error,statistic,p_value,ci95_low,ci95_high,n_conditions,n_entity_clusters,effect_scale,odds_ratio,odds_ratio_ci95_low,odds_ratio_ci95_high
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),Intercept,,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.2:2],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:1],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:2],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:0],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:1],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(model_id)[T.deepseek/deepseek-v4-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(model_id)[T.gemini-3.5-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.2:2]:C(model_id)[T.deepseek/deepseek-v4-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:1]:C(model_id)[T.deepseek/deepseek-v4-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:2]:C(model_id)[T.deepseek/deepseek-v4-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:0]:C(model_id)[T.deepseek/deepseek-v4-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:1]:C(model_id)[T.deepseek/deepseek-v4-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.2:2]:C(model_id)[T.gemini-3.5-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:1]:C(model_id)[T.gemini-3.5-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:2]:C(model_id)[T.gemini-3.5-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:0]:C(model_id)[T.gemini-3.5-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:1]:C(model_id)[T.gemini-3.5-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.2:2],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.3:1],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.3:2],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.4:0],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.4:1],,,,,,,1338,75,log_odds,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),Intercept,65.49052061573168,1.7631057431394368,37.1449760574867,5.28425469711326e-302,62.03489685824266,68.9461443732207,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.2:2],-8.832298825711932,2.6337684150591265,-3.353483463166845,0.0007980118223768906,-13.99439006284696,-3.670207588576904,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:1],9.9164076542428,2.563927085428707,3.867663675226827,0.00010988307318307797,4.891202907815784,14.941612400669815,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:2],0.883413318202247,2.618752246049204,0.3373413118919569,0.7358596205327743,-4.249246768487567,6.016073404892061,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:0],33.17914905393797,1.7597817555619173,18.854127194507427,2.717872549703679e-79,29.730040192385943,36.628257915489996,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:1],14.473923828712756,2.2857475754618477,6.332249450505584,2.416124379892259e-10,9.993940903057785,18.95390675436773,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(model_id)[T.deepseek/deepseek-v4-flash],22.69333333333333,1.6623382015391373,13.651453905301503,1.978905493445204e-42,19.435210328191538,25.951456338475126,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(model_id)[T.gemini-3.5-flash],32.537807522174305,1.6602316691575754,19.598353727756827,1.5970765092348296e-85,29.28381324463264,35.79180179971597,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0],-2.810238057365175,1.653371758784328,-1.6997012574059291,0.08918713271849552,-6.050787157638103,0.4303110429077539,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.2:2]:C(model_id)[T.deepseek/deepseek-v4-flash],-12.864698438922373,3.3860244264535657,-3.799351929778169,0.00014507495836610655,-19.501184365544255,-6.228212512300491,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:1]:C(model_id)[T.deepseek/deepseek-v4-flash],-6.546666666666661,2.032561019083159,-3.2208955131982755,0.0012779072883710625,-10.530413060449682,-2.5629202728836398,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:2]:C(model_id)[T.deepseek/deepseek-v4-flash],-11.559999999999988,2.913828485763117,-3.967289103144478,7.269479051768487e-05,-17.27099888922258,-5.849001110777397,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:0]:C(model_id)[T.deepseek/deepseek-v4-flash],-21.359999999999996,1.6630510114445587,-12.843863389040774,9.310939477763222e-38,-24.61952008688424,-18.100479913115752,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:1]:C(model_id)[T.deepseek/deepseek-v4-flash],-9.360000000000001,1.9508302506027366,-4.797957175980891,1.6029203753384395e-06,-13.183557031132613,-5.536442968867389,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.2:2]:C(model_id)[T.gemini-3.5-flash],7.328315209899072,2.3064408090451343,3.177326372807717,0.0014863966107518118,2.807774291697185,11.848856128100959,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:1]:C(model_id)[T.gemini-3.5-flash],-8.49985359335903,2.093875474918588,-4.059388294659458,4.920143813098359e-05,-12.603774112311164,-4.395933074406895,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:2]:C(model_id)[T.gemini-3.5-flash],-2.657807522174299,2.2811624464804203,-1.1651110276144516,0.2439740536402516,-7.128803760161201,1.8131887158126037,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:0]:C(model_id)[T.gemini-3.5-flash],-31.204474188840972,1.6537185815232485,-18.869277117330554,2.0407090762338173e-79,-34.4457030491912,-27.96324532849074,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:1]:C(model_id)[T.gemini-3.5-flash],-13.764474188840975,1.8852063572662359,-7.301309024228536,2.849813641314375e-13,-17.459410752508745,-10.069537625173202,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.2:2],7.696400184812918,3.112022838201269,2.47311815656899,0.013393985144237078,1.596947502872312,13.795852866753524,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.3:1],1.7176164718892153,2.3407098478063624,0.7338015318297182,0.46306970682957527,-2.870090528069486,6.305323471847917,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.3:2],-1.3751578648728553,3.00693826530197,-0.4573282666761886,0.6474351154356384,-7.268648568600062,4.518332838854352,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.4:0],2.804311077753986,1.6380081338190025,1.7120251235967663,0.08689203861893068,-0.406125870914924,6.014748026422897,1338,75,points_0_to_100,,,
RQ1 subjective post-hoc confidence adjusted for distribution arm,subjective_posthoc_confidence,gaussian,GEE exchangeable/entity-clustered,subjective_posthoc_confidence ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.4:1],3.0119924433300933,1.9661657133457766,1.531911793032266,0.1255442029550695,-0.8416215424651328,6.86560642912532,1338,75,points_0_to_100,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),Intercept,,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(ratio)[T.2:2],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(ratio)[T.3:1],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(ratio)[T.3:2],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(ratio)[T.4:0],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(ratio)[T.4:1],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(distribution_request_assigned)[T.1.0],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(model_id)[T.deepseek/deepseek-v4-flash],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(model_id)[T.gemini-3.5-flash],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(ratio)[T.2:2],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(ratio)[T.3:1],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(ratio)[T.3:2],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(ratio)[T.4:0],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(ratio)[T.4:1],,,,,,,1338,75,log_odds,,,
RQ2 banking-versus-general conflict flagging adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(distribution_request_assigned)[T.1.0],,,,,,,1338,75,log_odds,,,
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),Intercept,-859.2946835802381,1566.798398596667,-0.5484398531105736,0.583389917960902,-3930.1631158647374,2211.573748704261,914,51,log_odds,0.0,0.0,
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general],-0.39741698821999394,4237.215178751117,-9.379202411361352e-05,0.999925164792143,-8305.186562086856,8304.391728110415,914,51,log_odds,0.6720537287083866,0.0,
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(ratio)[T.2:2],3.919438922156561,0.8539613248179895,4.589714789474731,4.43852061944768e-06,2.245705481323191,5.593172362989931,914,51,log_odds,50.37217413695786,9.447077943136959,268.5863229409815
