analysis,outcome,family,fit_method,formula,term,estimate,std_error,statistic,p_value,ci95_low,ci95_high,n_conditions,n_entity_clusters,effect_scale,odds_ratio,odds_ratio_ci95_low,odds_ratio_ci95_high
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(ratio)[T.3:1],-1154.8975489491424,,,,,,914,51,log_odds,0.0,,
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(ratio)[T.3:2],0.3686187846014793,0.9776984864866463,0.37702705864474506,0.7061534963535554,-1.5476350366516682,2.284872605854627,914,51,log_odds,1.4457363616471797,0.21275052653073018,9.824434568846616
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(ratio)[T.4:0],-790.0739005139634,,,,,,914,51,log_odds,0.0,,
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(ratio)[T.4:1],-790.0738763592902,0.13173157181056996,-5997.604564344048,0.0,-790.3320654956658,-789.8156872229147,914,51,log_odds,0.0,0.0,0.0
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(distribution_request_assigned)[T.1.0],31.65703958113483,,,,,,914,51,log_odds,56037351821620.04,,
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(model_id)[T.deepseek/deepseek-v4-flash],822.4755545952369,,,,,,914,51,log_odds,,,
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(model_id)[T.gemini-3.5-flash],826.2110260144855,2121.9848093355417,0.3893576534476688,0.6970115930023861,-3332.8027760242694,4985.22482805324,914,51,log_odds,,0.0,
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(ratio)[T.2:2],0.49682145097169644,1.161709889620461,0.4276639593160489,0.6688957929366773,-1.7800880931684084,2.7737309951118014,914,51,log_odds,1.6434890491487344,0.16862329205421914,16.018286808226435
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(ratio)[T.3:1],-364.7862221569476,0.0,-inf,0.0,-364.7862221569476,-364.7862221569476,914,51,log_odds,3.7614616896468635e-159,3.7614616896468635e-159,3.7614616896468635e-159
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(ratio)[T.3:2],-0.4776541089245112,1.5726679836887472,-0.30372215488494714,0.7613395777158652,-3.560026716593681,2.604718498744658,914,51,log_odds,0.6202366942207367,0.028438064935809245,13.527416781915457
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(ratio)[T.4:0],-729.6098805472728,0.0,-inf,0.0,-729.6098805472728,-729.6098805472728,914,51,log_odds,1.3628717e-317,1.3628717e-317,1.3628717e-317
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(ratio)[T.4:1],-729.6099091000011,0.0,-inf,0.0,-729.6099091000011,-729.6099091000011,914,51,log_odds,1.3628327e-317,1.3628327e-317,1.3628327e-317
RQ2 numeric-only domain sensitivity adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ C(domain) * C(ratio) + C(domain) * C(distribution_request_assigned) + C(domain) * C(strategy) + C(model_id) + C(layout_index),C(domain)[T.general]:C(distribution_request_assigned)[T.1.0],0.38625976661247086,9403.990490863791,4.1074027774457213e-05,0.999967227667398,-18431.09641328356,18431.868932816786,914,51,log_odds,1.4714668591340718,0.0,
RQ3 normalized minority-position effect on is_maj adjusted for arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),Intercept,,,,,,,673,75,log_odds,,,
RQ3 normalized minority-position effect on is_maj adjusted for arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),C(ratio)[T.3:1],,,,,,,673,75,log_odds,,,
RQ3 normalized minority-position effect on is_maj adjusted for arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),C(ratio)[T.4:1],,,,,,,673,75,log_odds,,,
RQ3 normalized minority-position effect on is_maj adjusted for arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0],,,,,,,673,75,log_odds,,,
RQ3 normalized minority-position effect on is_maj adjusted for arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),C(model_id)[T.deepseek/deepseek-v4-flash],,,,,,,673,75,log_odds,,,
RQ3 normalized minority-position effect on is_maj adjusted for arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),C(model_id)[T.gemini-3.5-flash],,,,,,,673,75,log_odds,,,
RQ3 normalized minority-position effect on is_maj adjusted for arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),minority_position_normalized,,,,,,,673,75,log_odds,,,
RQ3 normalized minority-position effect on is_maj adjusted for arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),minority_position_normalized:C(ratio)[T.3:1],,,,,,,673,75,log_odds,,,
RQ3 normalized minority-position effect on is_maj adjusted for arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),minority_position_normalized:C(ratio)[T.4:1],,,,,,,673,75,log_odds,,,
RQ3 normalized minority-position effect on is_maj adjusted for arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),minority_position_normalized:C(distribution_request_assigned)[T.1.0],,,,,,,673,75,log_odds,,,
RQ3 normalized minority-position effect on is_flag adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),Intercept,-53.1020796684637,,,,,,673,75,log_odds,8.670813046570333e-24,,
RQ3 normalized minority-position effect on is_flag adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),C(ratio)[T.3:1],-25.478799033733495,0.8997163244900697,-28.31870261793245,2.033910872763737e-176,-27.242210626036783,-23.715387441430206,673,75,log_odds,8.60395586838664e-12,1.4752249547998519e-12,5.018085976940955e-11
RQ3 normalized minority-position effect on is_flag adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),C(ratio)[T.4:1],-25.18121549615849,0.8714349869628784,-28.89626406201564,1.3302088104491574e-183,-26.889196685473863,-23.473234306843118,673,75,log_odds,1.1586094392634431e-11,2.0997628934097583e-12,6.392987689055194e-11
RQ3 normalized minority-position effect on is_flag adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0],24.97639128910027,2.1458005635050537,11.63966107283644,2.5904294603473994e-31,20.770699466624613,29.182083111575928,673,75,log_odds,70324866226.36078,1048576604.445067,4716476401238.102
RQ3 normalized minority-position effect on is_flag adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),C(model_id)[T.deepseek/deepseek-v4-flash],-5.448659502659438e-06,,,,,,673,75,log_odds,0.9999945513553412,,
RQ3 normalized minority-position effect on is_flag adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),C(model_id)[T.gemini-3.5-flash],26.087644108824676,,,,,,673,75,log_odds,213658355969.65466,,
RQ3 normalized minority-position effect on is_flag adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),minority_position_normalized,0.4060200537769387,,,,,,673,75,log_odds,1.5008326495194149,,
RQ3 normalized minority-position effect on is_flag adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),minority_position_normalized:C(ratio)[T.3:1],-0.8014963737425703,1.2135021013941365,-0.6604820649439075,0.5089445241788366,-3.179916787638751,1.5769240401536102,673,75,log_odds,0.44865710285668037,0.04158911570570959,4.84004510622752
RQ3 normalized minority-position effect on is_flag adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),minority_position_normalized:C(ratio)[T.4:1],-1.4996121894081682,1.1935698700058763,-1.2564092200155699,0.20896764052048322,-3.8389661476518397,0.8397417688355033,673,75,log_odds,0.22321670916912126,0.021515834045995694,2.3157688958641653
RQ3 normalized minority-position effect on is_flag adjusted for arm,is_flag,binomial,GEE exchangeable/entity-clustered,is_flag ~ minority_position_normalized * C(ratio) + minority_position_normalized * C(distribution_request_assigned) + C(model_id) + C(strategy) + C(layout_index),minority_position_normalized:C(distribution_request_assigned)[T.1.0],0.8345627050497044,,,,,,673,75,log_odds,2.3038063850813995,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),Intercept,0.09596541049644784,0.022704549016710988,4.226704103473513,2.3713917393375836e-05,0.051465312138470005,0.14046550885442569,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(distribution_request_assigned)[T.1.0],-0.07674496671756771,0.024900061630055197,-3.0821195488501925,0.0020553227477592122,-0.1255481907253036,-0.027941742709831817,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(model_id)[T.deepseek/deepseek-v4-flash],-0.08468378378378377,0.019347221178420367,-4.377051515710119,1.2029554967189267e-05,-0.12260364049441827,-0.04676392707314927,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(model_id)[T.gemini-3.5-flash],-0.08288216216216215,0.019473785654160525,-4.256088858842635,2.0803405352581908e-05,-0.12105008068696957,-0.044714243637354746,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(ratio)[T.2:2],0.02702972972972972,0.01434271870028763,1.8845610999250555,0.05948911838532929,-0.0010814823632231685,0.05514094182268261,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(ratio)[T.3:1],-0.030029729729729726,0.014494382612489885,-2.0718184784119713,0.038282372754628875,-0.05843819762835348,-0.001621261831105971,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(ratio)[T.3:2],-0.01201171171171172,0.013946545149511777,-0.8612679041972062,0.38909050853513694,-0.03934643791351659,0.015323014490093148,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(ratio)[T.4:1],-0.036035135135135135,0.013465949925476048,-2.6760187981213828,0.007450246627457954,-0.06242791200668801,-0.009642358263582257,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(domain)[T.general],-0.0018033418955410588,0.007244327723877286,-0.24893157298740756,0.8034137121574689,-0.016001963326545566,0.012395279535463447,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(model_id)[T.deepseek/deepseek-v4-flash],0.06187588904694166,0.022341292286544138,2.769575199739394,0.0056129445513492075,0.018087760797232642,0.10566401729665068,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(model_id)[T.gemini-3.5-flash],0.05130321479374108,0.02196045355799403,2.3361637162118503,0.01948271055779224,0.00826151673590829,0.09434491285157387,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.2:2],0.034372024656235206,0.020562787961838868,1.671564416266121,0.09461024647265567,-0.0059302991707027575,0.07467434848317317,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.3:1],0.03002972972972972,0.014494382612489887,2.0718184784119704,0.03828237275462896,0.0016212618311059607,0.05843819762835348,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.3:2],0.0178599573257468,0.015093311311617357,1.1833027860493377,0.23668916904420834,-0.011722389252474225,0.04744230390396782,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on conflict_mention_rate,conflict_mention_rate,gaussian,GEE exchangeable/entity-clustered,conflict_mention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(distribution_request_assigned)[T.1.0]:C(ratio)[T.4:1],0.036035135135135135,0.013465949925476037,2.6760187981213845,0.007450246627457908,0.009642358263582278,0.06242791200668799,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on abstention_rate,abstention_rate,gaussian,GEE exchangeable/entity-clustered,abstention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),Intercept,0.0005505835509487269,0.00465773424043097,0.1182084512614405,0.9059024937713864,-0.008578407809854999,0.009679574911752451,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on abstention_rate,abstention_rate,gaussian,GEE exchangeable/entity-clustered,abstention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(distribution_request_assigned)[T.1.0],-0.027582050933097027,0.014979950360864074,-1.8412645081359293,0.0655828061488265,-0.05694221413058839,0.0017781122643943416,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on abstention_rate,abstention_rate,gaussian,GEE exchangeable/entity-clustered,abstention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(model_id)[T.deepseek/deepseek-v4-flash],-0.003603243243243246,0.002478059576125709,-1.4540583599998396,0.14593012679179532,-0.008460150763994229,0.0012536642775077358,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on abstention_rate,abstention_rate,gaussian,GEE exchangeable/entity-clustered,abstention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(model_id)[T.gemini-3.5-flash],-0.003603243243243255,0.0024780595761254767,-1.4540583599999795,0.14593012679175651,-0.008460150763993781,0.0012536642775072718,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on abstention_rate,abstention_rate,gaussian,GEE exchangeable/entity-clustered,abstention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(ratio)[T.2:2],0.006005405405405372,0.004130099293543198,1.454058359999707,0.14593012679183207,-0.0020894404625136183,0.01410025127332436,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on abstention_rate,abstention_rate,gaussian,GEE exchangeable/entity-clustered,abstention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(ratio)[T.3:1],-2.5956144577891818e-17,1.8138163963516533e-09,-1.4310238142129781e-08,0.999999988582082,-3.555014837373613e-09,3.5550147854613234e-09,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on abstention_rate,abstention_rate,gaussian,GEE exchangeable/entity-clustered,abstention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(ratio)[T.3:2],-2.4808634833796537e-17,2.0343616310981782e-09,-1.219480079380207e-08,0.9999999902699567,-3.987275553291224e-09,3.987275503673955e-09,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on abstention_rate,abstention_rate,gaussian,GEE exchangeable/entity-clustered,abstention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(ratio)[T.4:1],-2.5929241176548567e-17,1.828326845196272e-09,-1.4181950696985499e-08,0.9999999886844405,-3.5834547944816725e-09,3.5834547426231904e-09,1125,75,points_0_to_100,,,
RQ4 distribution-request effect on abstention_rate,abstention_rate,gaussian,GEE exchangeable/entity-clustered,abstention_rate ~ C(distribution_request_assigned) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(domain) + C(layout_index),C(domain)[T.general],0.0031140185734044646,0.007590357395622724,0.41025980874105944,0.6816153715332757,-0.011762808551803316,0.017990845698612246,1125,75,points_0_to_100,,,
