run_id,timestamp_utc,entity_id,entity_name,domain,attribute,ratio,n_docs,model_provider,model_id,question,majority_value,minority_value,raw_response,parsed_answer,parsed_confidence,prompt_tokens,completion_tokens,error
b6542016,2026-07-15T07:21:16.407216+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407407+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407477+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407516+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407553+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407582+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407615+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:1,5,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,439,8,
b6542016,2026-07-15T07:21:16.407643+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:1,5,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,439,8,
b6542016,2026-07-15T07:21:16.407674+00:00,E002,Tessamir Bancorp,banking,lending_cap,4:0,4,openai,gpt-4o-mini-MOCK,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"{""answer"": ""30%"", ""confidence"": 5}",30%,5,351,8,
b6542016,2026-07-15T07:21:16.407701+00:00,E002,Tessamir Bancorp,banking,lending_cap,4:0,4,anthropic,claude-haiku-4-5-MOCK,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"{""answer"": ""30%"", ""confidence"": 5}",30%,5,351,8,
b6542016,2026-07-15T07:21:16.407732+00:00,E002,Tessamir Bancorp,banking,lending_cap,3:1,4,openai,gpt-4o-mini-MOCK,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"{""answer"": ""30%"", ""confidence"": 5}",30%,5,351,8,
b6542016,2026-07-15T07:21:16.407758+00:00,E002,Tessamir Bancorp,banking,lending_cap,3:1,4,anthropic,claude-haiku-4-5-MOCK,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"{""answer"": ""30%"", ""confidence"": 5}",30%,5,351,8,
b6542016,2026-07-15T07:21:16.407789+00:00,E002,Tessamir Bancorp,banking,lending_cap,2:2,4,openai,gpt-4o-mini-MOCK,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"{""answer"": ""30%"", ""confidence"": 5}",30%,5,351,8,
b6542016,2026-07-15T07:21:16.407817+00:00,E002,Tessamir Bancorp,banking,lending_cap,2:2,4,anthropic,claude-haiku-4-5-MOCK,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"{""answer"": ""30%"", ""confidence"": 5}",30%,5,351,8,
b6542016,2026-07-15T07:21:16.407875+00:00,E002,Tessamir Bancorp,banking,lending_cap,4:1,5,openai,gpt-4o-mini-MOCK,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"{""answer"": ""30%"", ""confidence"": 5}",30%,5,413,8,
b6542016,2026-07-15T07:21:16.407906+00:00,E002,Tessamir Bancorp,banking,lending_cap,4:1,5,anthropic,claude-haiku-4-5-MOCK,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"{""answer"": ""30%"", ""confidence"": 5}",30%,5,413,8,
b6542016,2026-07-15T07:21:16.407938+00:00,E003,Meridian Vale Trust Company,banking,overdraft_limit,4:0,4,openai,gpt-4o-mini-MOCK,What is the default overdraft protection limit for the ApexGrowth Savings account at Meridian Vale Trust Company?,$100,$1000,"{""answer"": ""$100"", ""confidence"": 5}",$100,5,411,8,
b6542016,2026-07-15T07:21:16.407966+00:00,E003,Meridian Vale Trust Company,banking,overdraft_limit,4:0,4,anthropic,claude-haiku-4-5-MOCK,What is the default overdraft protection limit for the ApexGrowth Savings account at Meridian Vale Trust Company?,$100,$1000,"{""answer"": ""$100"", ""confidence"": 5}",$100,5,411,8,
b6542016,2026-07-15T07:21:16.407997+00:00,E003,Meridian Vale Trust Company,banking,overdraft_limit,3:1,4,openai,gpt-4o-mini-MOCK,What is the default overdraft protection limit for the ApexGrowth Savings account at Meridian Vale Trust Company?,$100,$1000,"{""answer"": ""$100"", ""confidence"": 5}",$100,5,411,8,
b6542016,2026-07-15T07:21:16.408023+00:00,E003,Meridian Vale Trust Company,banking,overdraft_limit,3:1,4,anthropic,claude-haiku-4-5-MOCK,What is the default overdraft protection limit for the ApexGrowth Savings account at Meridian Vale Trust Company?,$100,$1000,"{""answer"": ""$100"", ""confidence"": 5}",$100,5,411,8,
b6542016,2026-07-15T07:21:16.408054+00:00,E003,Meridian Vale Trust Company,banking,overdraft_limit,2:2,4,openai,gpt-4o-mini-MOCK,What is the default overdraft protection limit for the ApexGrowth Savings account at Meridian Vale Trust Company?,$100,$1000,"{""answer"": ""$100"", ""confidence"": 5}",$100,5,412,8,
b6542016,2026-07-15T07:21:16.408080+00:00,E003,Meridian Vale Trust Company,banking,overdraft_limit,2:2,4,anthropic,claude-haiku-4-5-MOCK,What is the default overdraft protection limit for the ApexGrowth Savings account at Meridian Vale Trust Company?,$100,$1000,"{""answer"": ""$100"", ""confidence"": 5}",$100,5,412,8,
b6542016,2026-07-15T07:21:16.408112+00:00,E003,Meridian Vale Trust Company,banking,overdraft_limit,4:1,5,openai,gpt-4o-mini-MOCK,What is the default overdraft protection limit for the ApexGrowth Savings account at Meridian Vale Trust Company?,$100,$1000,"{""answer"": ""$100"", ""confidence"": 5}",$100,5,478,8,
b6542016,2026-07-15T07:21:16.408138+00:00,E003,Meridian Vale Trust Company,banking,overdraft_limit,4:1,5,anthropic,claude-haiku-4-5-MOCK,What is the default overdraft protection limit for the ApexGrowth Savings account at Meridian Vale Trust Company?,$100,$1000,"{""answer"": ""$100"", ""confidence"": 5}",$100,5,478,8,
b6542016,2026-07-15T07:21:16.408168+00:00,E004,Ashfell Mutual Bank,banking,interest_rate,4:0,4,openai,gpt-4o-mini-MOCK,What is the annual interest rate for the FlexPrime Savings account at Ashfell Mutual Bank?,5.75%,3.5%,"{""answer"": ""5.75%"", ""confidence"": 5}",5.75%,5,376,9,
b6542016,2026-07-15T07:21:16.408195+00:00,E004,Ashfell Mutual Bank,banking,interest_rate,4:0,4,anthropic,claude-haiku-4-5-MOCK,What is the annual interest rate for the FlexPrime Savings account at Ashfell Mutual Bank?,5.75%,3.5%,"{""answer"": ""5.75%"", ""confidence"": 5}",5.75%,5,376,9,
b6542016,2026-07-15T07:21:16.408226+00:00,E004,Ashfell Mutual Bank,banking,interest_rate,3:1,4,openai,gpt-4o-mini-MOCK,What is the annual interest rate for the FlexPrime Savings account at Ashfell Mutual Bank?,5.75%,3.5%,"{""answer"": ""5.75%"", ""confidence"": 5}",5.75%,5,376,9,
b6542016,2026-07-15T07:21:16.408252+00:00,E004,Ashfell Mutual Bank,banking,interest_rate,3:1,4,anthropic,claude-haiku-4-5-MOCK,What is the annual interest rate for the FlexPrime Savings account at Ashfell Mutual Bank?,5.75%,3.5%,"{""answer"": ""5.75%"", ""confidence"": 5}",5.75%,5,376,9,
b6542016,2026-07-15T07:21:16.408284+00:00,E004,Ashfell Mutual Bank,banking,interest_rate,2:2,4,openai,gpt-4o-mini-MOCK,What is the annual interest rate for the FlexPrime Savings account at Ashfell Mutual Bank?,5.75%,3.5%,"{""answer"": ""5.75%"", ""confidence"": 5}",5.75%,5,375,9,
b6542016,2026-07-15T07:21:16.408311+00:00,E004,Ashfell Mutual Bank,banking,interest_rate,2:2,4,anthropic,claude-haiku-4-5-MOCK,What is the annual interest rate for the FlexPrime Savings account at Ashfell Mutual Bank?,5.75%,3.5%,"{""answer"": ""5.75%"", ""confidence"": 5}",5.75%,5,375,9,
b6542016,2026-07-15T07:21:16.408342+00:00,E004,Ashfell Mutual Bank,banking,interest_rate,4:1,5,openai,gpt-4o-mini-MOCK,What is the annual interest rate for the FlexPrime Savings account at Ashfell Mutual Bank?,5.75%,3.5%,"{""answer"": ""5.75%"", ""confidence"": 5}",5.75%,5,435,9,
b6542016,2026-07-15T07:21:16.408367+00:00,E004,Ashfell Mutual Bank,banking,interest_rate,4:1,5,anthropic,claude-haiku-4-5-MOCK,What is the annual interest rate for the FlexPrime Savings account at Ashfell Mutual Bank?,5.75%,3.5%,"{""answer"": ""5.75%"", ""confidence"": 5}",5.75%,5,435,9,
b6542016,2026-07-15T07:21:16.408399+00:00,E005,Meridian Vale Savings Bank,banking,monthly_fee,4:0,4,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the FlexPrime Savings account at Meridian Vale Savings Bank?,$15,$25,"{""answer"": ""$15"", ""confidence"": 5}",$15,5,393,8,
b6542016,2026-07-15T07:21:16.408426+00:00,E005,Meridian Vale Savings Bank,banking,monthly_fee,4:0,4,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the FlexPrime Savings account at Meridian Vale Savings Bank?,$15,$25,"{""answer"": ""$15"", ""confidence"": 5}",$15,5,393,8,
b6542016,2026-07-15T07:21:16.408456+00:00,E005,Meridian Vale Savings Bank,banking,monthly_fee,3:1,4,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the FlexPrime Savings account at Meridian Vale Savings Bank?,$15,$25,"{""answer"": ""$15"", ""confidence"": 5}",$15,5,393,8,
b6542016,2026-07-15T07:21:16.408481+00:00,E005,Meridian Vale Savings Bank,banking,monthly_fee,3:1,4,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the FlexPrime Savings account at Meridian Vale Savings Bank?,$15,$25,"{""answer"": ""$15"", ""confidence"": 5}",$15,5,393,8,
b6542016,2026-07-15T07:21:16.408511+00:00,E005,Meridian Vale Savings Bank,banking,monthly_fee,2:2,4,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the FlexPrime Savings account at Meridian Vale Savings Bank?,$15,$25,"{""answer"": ""$15"", ""confidence"": 5}",$15,5,393,8,
b6542016,2026-07-15T07:21:16.408539+00:00,E005,Meridian Vale Savings Bank,banking,monthly_fee,2:2,4,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the FlexPrime Savings account at Meridian Vale Savings Bank?,$15,$25,"{""answer"": ""$15"", ""confidence"": 5}",$15,5,393,8,
b6542016,2026-07-15T07:21:16.408573+00:00,E005,Meridian Vale Savings Bank,banking,monthly_fee,4:1,5,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the FlexPrime Savings account at Meridian Vale Savings Bank?,$15,$25,"{""answer"": ""$15"", ""confidence"": 5}",$15,5,457,8,
b6542016,2026-07-15T07:21:16.408600+00:00,E005,Meridian Vale Savings Bank,banking,monthly_fee,4:1,5,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the FlexPrime Savings account at Meridian Vale Savings Bank?,$15,$25,"{""answer"": ""$15"", ""confidence"": 5}",$15,5,457,8,
